"","logFC","logCPM","F","PValue","FDR","gene.ID","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA06004929",-5.40915360830308,2.93432392528523,42.2216625891569,9.1530354949317e-06,3.94867275921838e-05,"BraA06004929","BraA06004929","AT5G42760","AT5G42760","Leucine carboxyl methyltransferase","-","-"
"BraA04000685",-4.00156589633442,6.52410574076423,36.7701620434967,9.22041043876934e-06,3.97622303821525e-05,"BraA04000685","BraA04000685","AT3G52960","AT3G52960","Thioredoxin superfamily protein","-","YES"
"BraA09000246",-6.12455346787379,7.25692031695019,36.6075702144912,9.47929647064475e-06,4.06666465991638e-05,"BraA09000246","BraA09000246","AT4G03070","AOP1","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein","-","-"
"BraA01002476",-3.24491599424162,3.49854260596969,36.5165568038599,9.62772879637877e-06,4.1162292033087e-05,"BraA01002476","BraA01002476","AT3G50560","AT3G50560","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA06000665",-3.5077703797777,8.47271161163427,36.5159210990355,9.62877459162388e-06,4.1162292033087e-05,"BraA06000665","BraA06000665","AT1G55670","PSAG","photosystem I subunit G","-","-"
"BraA10000417",-3.25558194966225,3.94580387840386,36.5030994894037,9.64989431622445e-06,4.12413734275144e-05,"BraA10000417","BraA10000417","AT1G05385","LPA19","photosystem II 11 kDa protein-like protein","-","-"
"BraA03003986",-3.00113596347634,7.39811781524889,36.4298793103965,9.77149239607295e-06,4.16931139763026e-05,"BraA03003986","BraA03003986","AT3G16000","MFP1","MAR binding filament-like protein 1","-","-"
"BraA03004131",-3.24505441188694,4.22943964342302,36.4223519179252,9.7840894095502e-06,4.17242360294531e-05,"BraA03004131","BraA03004131","AT3G19100","AT3G19100","Protein kinase superfamily protein","-","-"
"BraA06002044",5.2905229932955,2.02269371283749,41.6861158659202,9.84625107485443e-06,4.19438567714968e-05,"BraA06002044","BraA06002044","AT1G18710","MYB47","myb domain protein 47","YES","-"
"BraA02001476",-5.74570556779883,6.51642155514976,36.2250984970384,1.01207051577489e-05,4.28808337001443e-05,"BraA02001476","BraA02001476","AT3G02020","AK3","aspartate kinase 3","-","-"
"BraA03002322",3.06613285655794,2.1865613953473,36.2182842017589,1.01325614399955e-05,4.2907962007473e-05,"BraA03002322","BraA03002322","AT2G41710","AT2G41710","Integrase-type DNA-binding superfamily protein","YES","-"
"BraA09005814",3.59183887312582,1.94685499913732,36.1849030112783,1.01908650805939e-05,4.31200464932039e-05,"BraA09005814","BraA09005814","AT2G22420","AT2G22420","Peroxidase superfamily protein","-","-"
"BraA01004775",3.1104739622846,4.96865898758184,36.1765401622636,1.02055299327276e-05,4.31577290007102e-05,"BraA01004775","BraA01004775","AT3G01175","AT3G01175","transmembrane protein","-","-"
"BraA04001504",3.12048471331139,2.83553652212538,36.155671832494,1.02422263328378e-05,4.3255951039596e-05,"BraA04001504","BraA04001504","AT2G21060","GRP2B","glycine-rich protein 2B","-","-"
"BraA04001706",-3.29361589034273,4.35951936102587,36.1479459067649,1.02558493096499e-05,4.33018633583717e-05,"BraA04001706","BraA04001706","AT2G23380","CLF","SET domain-containing protein","-","YES"
"BraA06001279",-5.20409928704154,2.05826674825591,35.9987370409891,1.05229328661494e-05,4.42750993534029e-05,"BraA06001279","BraA06001279","AT1G09340","CRB","chloroplast RNA binding protein","-","YES"
"BraA03004334",-4.62149656645098,3.93213508258127,35.9257025056744,1.06564728140487e-05,4.47412636611182e-05,"BraA03004334","BraA03004334","AT4G14320","AT4G14320","Zinc-binding ribosomal protein family protein","-","YES"
"BraA03000291",-5.33024814155798,4.91721727397547,35.9192405147146,1.06683785514386e-05,4.47793024501034e-05,"BraA03000291","BraA03000291","AT5G06860","PGIP1","polygalacturonase inhibiting protein 1","-","-"
"BraA09004969",-4.49346037997399,4.28118622404362,35.8974083194585,1.07087121237899e-05,4.49366117279887e-05,"BraA09004969","BraA09004969","AT3G56060","AT3G56060","Glucose-methanol-choline (GMC) oxidoreductase family protein","-","-"
"BraA04002598",-4.16602850262783,5.20392605672311,35.8926750418433,1.07174788651345e-05,4.49614096032409e-05,"BraA04002598","BraA04002598","AT2G35860","FLA16","FASCICLIN-like arabinogalactan protein 16 precursor","-","-"
"BraA05000348",-4.14752967498875,2.49198973889858,35.7572683161232,1.09716789597044e-05,4.58510347788604e-05,"BraA05000348","BraA05000348","AT2G41950","AT2G41950","DNA-directed RNA polymerase subunit beta","-","-"
"BraA03001284",4.78155001600607,4.69505347532846,40.8571793204176,1.10396272665475e-05,4.60306239179626e-05,"BraA03001284","BraA03001284","AT5G57760","AT5G57760","hypothetical protein","-","YES"
"BraA05001409",-3.29499379708439,2.89078146753259,35.7083982135463,1.10650615400209e-05,4.61122373924177e-05,"BraA05001409","BraA05001409","AT2G32060","AT2G32060","Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein","-","-"
"BraA10000522",3.97830086315256,8.14704004977056,35.6518381403046,1.1174241783939e-05,4.65179546857312e-05,"BraA10000522","BraA10000522","AT1G06570","PDS1","4-hydroxyphenylpyruvate dioxygenase","-","-"
"BraA03005265",-3.42909655747059,3.60463229040715,35.4994671696141,1.14743690499072e-05,4.75866573474342e-05,"BraA03005265","BraA03005265","AT4G20780","CML42","calmodulin like 42","-","-"
"BraA07001589",-4.03372512967963,3.17724635669767,35.4645153198129,1.15444695157737e-05,4.77559864090997e-05,"BraA07001589","BraA07001589","AT1G20070","AT1G20070","hypothetical protein","-","-"
"BraA06003559",-3.94136709985909,4.38846166315293,35.4540028231104,1.15656466177645e-05,4.78058878847234e-05,"BraA06003559","BraA06003559","AT5G23860","TUB8","tubulin beta 8","-","-"
"BraA09005452",-6.59753465203795,9.03375057816699,35.4302334480076,1.16136885082479e-05,4.79666672876085e-05,"BraA09005452","BraA09005452","AT3G62030","ROC4","rotamase CYP 4","-","YES"
"BraA01000253",-3.07278931910044,5.52046463311598,35.3862132678318,1.17032469815289e-05,4.82479157718989e-05,"BraA01000253","BraA01000253","AT4G36360","BGAL3","beta-galactosidase 3","-","-"
"BraA09003624",-3.57925621892485,5.46596862553845,35.3781454505465,1.17197438621023e-05,4.83032711927819e-05,"BraA09003624","BraA09003624","AT1G31070","GlcNAc1pUT1","N-acetylglucosamine-1-phosphate uridylyltransferase 1","-","-"
"BraA03000717",-5.74802170012353,3.27671982599411,35.3360780390233,1.18061817220685e-05,4.86086016688828e-05,"BraA03000717","BraA03000717","AT5G15350","ENODL17","early nodulin-like protein 17","-","-"
"BraA08000220",-3.46522761622341,8.3116807265562,35.3018699195492,1.18769927417445e-05,4.88490218986124e-05,"BraA08000220","BraA08000220","AT1G52230","PSAH2","photosystem I subunit H2","-","-"
"BraA01000296",6.49415317382647,8.70940739691998,35.290898214666,1.18998040269802e-05,4.89129953342373e-05,"BraA01000296","BraA01000296","AT4G35770","SEN1","Rhodanese/Cell cycle control phosphatase superfamily protein","-","YES"
"BraA01002310",6.78968805335416,1.85000994960739,35.2652845495305,1.19532470250568e-05,4.90984847784634e-05,"BraA01002310","BraA01002310",NA,NA,NA,NA,NA
"BraA07001856",5.01588427287524,3.34203656439512,35.1807465388545,1.21315362600634e-05,4.96752158699865e-05,"BraA07001856","BraA07001856","AT2G28110","FRA8","Exostosin family protein","-","-"
"BraA03001884",3.20648333840014,9.48162414114905,35.1442590713453,1.22093983837355e-05,4.99680345816547e-05,"BraA03001884","BraA03001884","AT2G33830","AT2G33830","Dormancy/auxin associated family protein","-","-"
"BraA02002649",-6.95769469498853,4.44157150792751,35.0780788424834,1.23520431755226e-05,5.04337704748377e-05,"BraA02002649","BraA02002649","AT1G77760","NIA1","nitrate reductase 1","-","-"
"BraA09002036",-4.20043330307623,3.39756534451398,35.0510704530697,1.2410787944186e-05,5.05948598678008e-05,"BraA09002036","BraA09002036","AT5G65360","AT5G65360","Histone superfamily protein","-","-"
"BraA09004285",-3.62385808435375,2.53989624299768,34.9986058048567,1.25257902462864e-05,5.09580753142614e-05,"BraA09004285","BraA09004285",NA,NA,NA,NA,NA
"BraA08003163",6.02870370801997,2.62937377424569,34.9296912547385,1.26786526811838e-05,5.14309100823233e-05,"BraA08003163","BraA08003163","AT1G21000","AT1G21000","PLATZ transcription factor family protein","-","-"
"BraA06002143",-4.80007448815858,4.83278946442327,34.9088219757517,1.27253515440855e-05,5.15699541328172e-05,"BraA06002143","BraA06002143","AT1G19770","PUP14","purine permease 14","-","-"
"BraA09004771",-3.90710880759836,3.56889248780554,34.8525924551197,1.28521288923188e-05,5.20033685393493e-05,"BraA09004771","BraA09004771","AT5G27700","AT5G27700","Ribosomal protein S21e","-","-"
"BraA06003227",3.19502369643921,2.18157135165116,34.8203650865063,1.29254219024094e-05,5.22352048186951e-05,"BraA06003227","BraA06003227","AT5G64530","XND1","xylem NAC domain 1","YES","-"
"BraA05004523",3.02376235498957,2.72557716934299,34.7851415623723,1.30060602326832e-05,5.24643332021284e-05,"BraA05004523","BraA05004523","AT3G04000","AT3G04000","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA02001686",12.4412605874885,5.67610479356892,34.7695123924805,1.30420193914053e-05,5.25824281688841e-05,"BraA02001686","BraA02001686","AT5G52300","LTI65","CAP160 protein","-","YES"
"BraA02003018",-3.03261585888447,7.65471268487665,34.7315145771832,1.31299050729414e-05,5.28825662216037e-05,"BraA02003018","BraA02003018","AT4G04640","ATPC1","ATPase, F1 complex, gamma subunit protein","-","YES"
"BraA05001226",5.64604691468167,7.71364574564818,34.6264757204357,1.33762918027094e-05,5.36962570937333e-05,"BraA05001226","BraA05001226","AT2G33830","AT2G33830","Dormancy/auxin associated family protein","-","-"
"BraA06003015",4.45761828793272,2.1528159167609,34.6076497153027,1.34209917479432e-05,5.38402376320654e-05,"BraA06003015","BraA06003015","AT5G62480","GSTU9","glutathione S-transferase tau 9","-","-"
"BraA07002254",-4.27350650110621,2.40816304603767,34.5292429159501,1.36089510798306e-05,5.44496451035379e-05,"BraA07002254","BraA07002254","AT4G00100","RPS13A","ribosomal protein S13A","-","YES"
"BraA09000618",3.60097787669492,3.49163244477671,34.5209117227954,1.36290940835611e-05,5.45025221090005e-05,"BraA09000618","BraA09000618","AT5G25770","AT5G25770","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA09005649",-5.51871353607589,2.80620111330035,34.5031476510073,1.36721543771824e-05,5.46608285770685e-05,"BraA09005649","BraA09005649","AT3G63520","CCD1","carotenoid cleavage dioxygenase 1","-","-"
"BraA07001841",3.37350065299344,4.39838196914992,34.4761974119614,1.37377707894164e-05,5.48534791023234e-05,"BraA07001841","BraA07001841","AT2G27830","AT2G27830","hypothetical protein","-","-"
"BraA03002046",-3.17130873024392,4.08723507487285,34.4668208184258,1.37606821520967e-05,5.49310234260257e-05,"BraA03002046","BraA03002046","AT5G42020","BIP2","Heat shock protein 70 (Hsp 70) family protein","-","YES"
"BraA05000306",-4.94576138990444,3.39060396999427,34.2714814966331,1.4247769496156e-05,5.65454983080732e-05,"BraA05000306","BraA05000306","AT2G41450","AT2G41450","N-acetyltransferase","-","-"
"BraA02000913",-3.83852456238989,3.62047752966999,34.2185550046953,1.4383019248846e-05,5.6981669410836e-05,"BraA02000913","BraA02000913","AT5G19600","SULTR3;5","sulfate transporter 3;5","-","-"
"BraA03003408",3.34833862496678,2.61087971392496,34.2079845914591,1.44102016218473e-05,5.70749893585174e-05,"BraA03003408","BraA03003408","AT3G05290","PNC1","peroxisomal adenine nucleotide carrier 1","-","-"
"BraA05004316",-3.08370627589484,2.78541661094142,34.1938114534938,1.44467381597558e-05,5.71909111149479e-05,"BraA05004316","BraA05004316","AT3G06730","TRX z","Thioredoxin z","-","-"
"BraA03005660",9.66690201600601,2.01864539067358,58.5967008098456,1.45985080180846e-05,5.76901361558462e-05,"BraA03005660","BraA03005660","AT4G26260","MIOX4","myo-inositol oxygenase 4","-","-"
"BraA09006453",-3.23231986370775,2.58277068285745,34.0908814225885,1.47151859133337e-05,5.80928664155089e-05,"BraA09006453","BraA09006453","AT1G12020","AT1G12020","hypothetical protein","-","-"
"BraA06003644",-6.59946835929193,4.975708603416,34.079527592882,1.474513503408e-05,5.81819069449054e-05,"BraA06003644","BraA06003644","AT5G24660","LSU2","response to low sulfur 2","-","-"
"BraA10002126",-4.72751189539925,2.60145108906887,33.9807658947706,1.50085227321352e-05,5.89698161580225e-05,"BraA10002126","BraA10002126","AT5G15890","TBL21","TRICHOME BIREFRINGENCE-LIKE 21","-","-"
"BraA05000230",-3.43841441812084,3.91575942215204,33.9763724487117,1.50203604012902e-05,5.90015954255372e-05,"BraA05000230","BraA05000230","AT2G46330","AGP16","arabinogalactan protein 16","-","-"
"BraA08001055",-3.01200003318162,2.42596964898277,33.9199101774416,1.51734183940896e-05,5.94692183933734e-05,"BraA08001055","BraA08001055","AT5G40160","EMB506","Ankyrin repeat family protein","-","-"
"BraA01003619",3.98165441277798,3.00956899689203,33.8877399327534,1.52613995824969e-05,5.97693837307546e-05,"BraA01003619","BraA01003619","AT3G19390","AT3G19390","Granulin repeat cysteine protease family protein","-","-"
"BraA07000808",-3.40073435254827,6.83167844303321,33.6713531947551,1.58681191322252e-05,6.18377223042831e-05,"BraA07000808","BraA07000808","AT5G42020","BIP2","Heat shock protein 70 (Hsp 70) family protein","-","YES"
"BraA06000573",-3.1033163206771,3.03800463673067,33.6639014564616,1.58894846507639e-05,6.18836781838708e-05,"BraA06000573","BraA06000573",NA,NA,NA,NA,NA
"BraA08001010",3.25596802830581,5.73391924330381,33.5427681966414,1.62413152367872e-05,6.30267167857171e-05,"BraA08001010","BraA08001010","AT5G40690","AT5G40690","histone-lysine N-methyltransferase trithorax-like protein","-","-"
"BraA03006405",-5.03299069458053,2.66241863109935,33.4761917872976,1.64383641680312e-05,6.36501226742469e-05,"BraA03006405","BraA03006405","AT4G35920","MCA1","PLAC8 family protein","-","-"
"BraA09005538",4.85210390821938,1.97264138049663,33.3853839069087,1.67114257326074e-05,6.44852857597623e-05,"BraA09005538","BraA09005538","AT3G63010","GID1B","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA03004557",4.75787846082326,10.0574713408006,33.3376209499303,1.68570689377699e-05,6.49835464979781e-05,"BraA03004557","BraA03004557","AT2G15960","AT2G15960","stress-induced protein","-","-"
"BraA03006533",5.49594994874912,4.07688319025011,33.3031828927476,1.69629552059876e-05,6.52797904429985e-05,"BraA03006533","BraA03006533","AT4G37740","GRF2","growth-regulating factor 2","YES","YES"
"BraA06000759",-3.89320380634645,3.26810443159323,33.288831270259,1.70072998391469e-05,6.54184478779798e-05,"BraA06000759","BraA06000759","AT1G53520","FAP3","Chalcone-flavanone isomerase family protein","-","-"
"BraA10000784",3.49776139033415,1.9883741959003,33.2804841774212,1.70331504670571e-05,6.5501870906552e-05,"BraA10000784","BraA10000784","AT5G51810","GA20OX2","gibberellin 20 oxidase 2","-","YES"
"BraA01000022",-3.17222804691939,3.50545488109817,33.2329140073306,1.71813089992498e-05,6.59897481457328e-05,"BraA01000022","BraA01000022","AT4G38950","AT4G38950","ATP binding microtubule motor family protein","-","-"
"BraA10002536",-4.33704026392021,6.45051101617918,33.2316773279508,1.71851797090247e-05,6.59897481457328e-05,"BraA10002536","BraA10002536","AT5G10250","DOT3","Phototropic-responsive NPH3 family protein","-","YES"
"BraA07001065",-4.83528777072906,3.02303023259474,33.2119479718935,1.72470621975942e-05,6.61950660344737e-05,"BraA07001065","BraA07001065","AT1G29470","AT1G29470","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","-","-"
"BraA03005500",7.96068111887713,2.66630620493769,33.1184353274673,1.75437571824934e-05,6.71536275902982e-05,"BraA03005500","BraA03005500","AT4G24040","TRE1","trehalase 1","-","-"
"BraA08002396",5.47929802580742,1.86453393065147,33.1070210170022,1.75803587980003e-05,6.72610080343624e-05,"BraA08002396","BraA08002396","AT4G37770","ACS8","1-amino-cyclopropane-1-carboxylate synthase 8","-","-"
"BraA01003090",-3.23921916840514,9.34497493847616,33.0303660153493,1.78283723554642e-05,6.80279503844773e-05,"BraA01003090","BraA01003090","AT1G60950","FED A","2Fe-2S ferredoxin-like superfamily protein","-","-"
"BraA09001677",3.45694988578994,8.86746939560009,33.0058451517738,1.79085268077196e-05,6.82675818426054e-05,"BraA09001677","BraA09001677","AT1G62480","AT1G62480","Vacuolar calcium-binding protein-like protein","-","-"
"BraA08001994",-3.88892959514743,3.0445352503608,32.9915266989807,1.79555163775095e-05,6.84135607061719e-05,"BraA08001994","BraA08001994","AT4G29410","AT4G29410","Ribosomal L28e protein family","-","-"
"BraA09004759",-3.17977092095202,3.19866445499597,32.8642147478935,1.83793964687975e-05,6.97247306733358e-05,"BraA09004759","BraA09004759","AT5G59970","AT5G59970","Histone superfamily protein","-","-"
"BraA01004625",3.36340838448985,3.03725765565191,32.8420707606191,1.84542526003416e-05,6.98907626760471e-05,"BraA01004625","BraA01004625","AT3G04060","NAC046","NAC domain containing protein 46","YES","-"
"BraA03002933",6.25069210434702,2.12103615153272,32.822029392903,1.85222929574922e-05,7.0131569292372e-05,"BraA03002933","BraA03002933","AT4G11910","AT4G11910","STAY-GREEN-like protein","-","YES"
"BraA08002512",-4.49743759149814,10.3935740958884,32.7048805053523,1.89256299639555e-05,7.14695735811865e-05,"BraA08002512","BraA08002512","AT4G38770","PRP4","proline-rich protein 4","-","-"
"BraA05002429",-3.71760709023097,7.4558773050035,32.613646590637,1.92465025253854e-05,7.25072932103098e-05,"BraA05002429","BraA05002429","AT1G32060","PRK","phosphoribulokinase","-","-"
"BraA07001861",-3.79064454553459,4.77316281144533,32.4652129609806,1.97815399434075e-05,7.41678133308221e-05,"BraA07001861","BraA07001861","AT2G28160","FRU","FER-like regulator of iron uptake","YES","YES"
